enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,job_stability,low_experience,recent_job_change,high_experience
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,1,36,1.0,0.045454545454545456,0,1,1
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,2,Pvt Ltd,5,47,0.0,0.3125,0,0,1
11561,city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5,2,Unknown,0,83,0.0,0.0,0,1,0
33241,city_115,0.789,Unknown,No relevent experience,no_enrollment,Graduate,Business Degree,0,2,Pvt Ltd,0,52,1.0,0.0,1,1,0
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21,2,Funded Startup,4,8,0.0,0.18181818181818182,0,0,1
21651,city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11,2,Unknown,1,24,1.0,0.08333333333333333,0,1,1
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,STEM,5,2,Funded Startup,1,24,0.0,0.16666666666666666,0,1,0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,0,Pvt Ltd,5,18,1.0,0.35714285714285715,0,0,1
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,2,Pvt Ltd,1,46,1.0,0.125,0,1,0
699,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17,7,Pvt Ltd,5,123,0.0,0.2777777777777778,0,0,1
29452,city_21,0.624,Unknown,No relevent experience,Full time course,High School,STEM,2,2,Unknown,0,32,1.0,0.0,1,1,0
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,6,Pvt Ltd,1,108,0.0,0.16666666666666666,0,1,0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,5,Pvt Ltd,3,23,0.0,0.13636363636363635,0,0,1
5826,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,2,Unknown,0,24,0.0,0.0,1,1,0
8722,city_21,0.624,Unknown,No relevent experience,Full time course,High School,STEM,5,2,Unknown,0,26,0.0,0.0,0,1,0
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1,Pvt Ltd,5,18,0.0,0.29411764705882354,0,0,1
4167,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1,2,Pvt Ltd,0,106,0.0,0.0,1,1,0
5764,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,6,Pvt Ltd,2,7,0.0,0.6666666666666666,1,0,0
2156,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7,7,Pvt Ltd,0,23,1.0,0.0,0,1,0
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,2,Unknown,1,132,1.0,0.2,0,1,0
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,3,Pvt Ltd,1,68,0.0,0.08333333333333333,0,1,1
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,3,Pvt Ltd,2,50,0.0,0.16666666666666666,0,0,1
6491,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10,2,Unknown,1,48,0.0,0.09090909090909091,0,1,1
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,5,Pvt Ltd,1,65,0.0,1.0,1,1,0
22767,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,5,Pvt Ltd,1,13,0.0,0.16666666666666666,0,1,0
14505,city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,STEM,4,2,Unknown,0,22,0.0,0.0,0,1,0
17139,city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14,4,Pvt Ltd,1,148,1.0,0.06666666666666667,0,1,1
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,2,Unknown,2,72,0.0,0.3333333333333333,0,0,0
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,STEM,11,0,Pvt Ltd,1,8,1.0,0.08333333333333333,0,1,1
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,2,Funded Startup,2,68,1.0,0.10526315789473684,0,0,1
